1,account_id,post_id,Category,Page,Post URL,Date Published,Post Type,Rating,Debate,share_count,reaction_count,comment_count
29,184096565021911,1035726243192268,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035726243192268,9/19/2016,"[0,1,0,0]","[0,1,0,0]",,50,157,129
30,184096565021911,1.03574E+15,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035738123191080,9/19/2016,"[1,0,0,0]","[1,0,0,0]",,,47,6
31,184096565021911,1035748639856695,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035748639856695,9/19/2016,"[0,1,0,0]","[0,1,0,0]",,13,101,73
32,184096565021911,1035767019854857,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035767019854857,9/19/2016,"[1,0,0,0]","[1,0,0,0]",,25,207,108
33,184096565021911,1035778606520365,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035778606520365,9/19/2016,"[0,1,0,0]","[0,1,0,0]",,2,37,25
34,184096565021911,1035801043184788,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035801043184788,9/19/2016,"[0,1,0,0]","[0,1,0,0]",,25,263,87
35,184096565021911,1035825603182332,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035825603182332,9/19/2016,"[0,1,0,0]","[0,1,0,0]",,15,106,29
36,184096565021911,1035859429845616,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035859429845616,9/19/2016,"[0,1,0,0]","[0,1,0,0]",,3,24,6
37,184096565021911,1035884803176412,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035884803176412,9/19/2016,"[0,1,0,0]","[0,1,0,0]",,23,98,8
38,184096565021911,1035916476506578,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1035916476506578,9/20/2016,"[0,1,0,0]","[0,1,0,0]",,5,36,20
39,184096565021911,1036151719816387,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1036151719816387,9/20/2016,"[0,1,0,0]","[0,0,1,0]",,117,614,70
40,184096565021911,1036199296478296,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1036199296478296,9/20/2016,"[0,1,0,0]","[0,1,0,0]",,6,45,23
41,184096565021911,1036218169809742,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1036218169809742,9/20/2016,"[1,0,0,0]","[0,1,0,0]",,,233,32
42,184096565021911,1036245469807012,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1036245469807012,9/20/2016,"[1,0,0,0]","[0,1,0,0]",,24,211,46
43,184096565021911,1036251303139762,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1036251303139762,9/20/2016,"[0,1,0,0]","[0,1,0,0]",,1,23,15
44,184096565021911,1036268139804745,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1036268139804745,9/20/2016,"[1,0,0,0]","[0,1,0,0]",,231,572,76
45,184096565021911,1036296946468531,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1036296946468531,9/20/2016,"[0,1,0,0]","[0,1,0,0]",,31,170,97
46,184096565021911,1036336249797934,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1036336249797934,9/20/2016,"[0,1,0,0]","[0,1,0,0]",,,13,4
47,184096565021911,1036354179796141,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1036354179796141,9/20/2016,"[1,0,0,0]","[1,0,0,0]",,,39,6
48,184096565021911,1036370659794493,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1036370659794493,9/20/2016,"[1,0,0,0]","[0,1,0,0]",,104,627,206
49,184096565021911,1036399716458254,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1036399716458254,9/20/2016,"[1,0,0,0]","[0,1,0,0]",,30,25,13
50,184096565021911,1036432846454941,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1036432846454941,9/20/2016,"[0,1,0,0]","[0,1,0,0]",,15,209,47
51,184096565021911,1036447253120167,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1036447253120167,9/20/2016,"[0,1,0,0]","[0,1,0,0]",,3,29,5
52,184096565021911,1036474553117437,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1036474553117437,9/20/2016,"[0,1,0,0]","[0,1,0,0]",,4,80,44
53,184096565021911,1.0365E+15,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1036496423115250,9/20/2016,"[0,1,0,0]","[0,1,0,0]",,339,430,231
54,184096565021911,1036514203113472,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1036514203113472,9/20/2016,"[0,1,0,0]","[0,1,0,0]",,,14,4
55,184096565021911,1036552873109605,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1036552873109605,9/20/2016,"[0,1,0,0]","[0,1,0,0]",,9,37,12
56,184096565021911,1036582596439966,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1036582596439966,9/20/2016,"[0,1,0,0]","[0,1,0,0]",,45,273,70
57,184096565021911,1036611373103755,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1036611373103755,9/20/2016,"[0,1,0,0]","[0,1,0,0]",,,12,4
58,184096565021911,1036644986433727,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1036644986433727,9/20/2016,"[0,1,0,0]","[0,1,0,0]",,11,83,57
59,184096565021911,1036675696430656,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1036675696430656,9/20/2016,"[0,1,0,0]","[0,1,0,0]",,35,243,81
60,184096565021911,1037004463064446,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037004463064446,9/21/2016,"[1,0,0,0]","[1,0,0,0]",,,63,1
61,184096565021911,1037005106397715,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037005106397715,9/21/2016,"[0,1,0,0]","[0,1,0,0]",,42,68,48
62,184096565021911,1037034746394751,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037034746394751,9/21/2016,"[1,0,0,0]","[1,0,0,0]",,72,137,76
63,184096565021911,1037075549724004,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037075549724004,9/21/2016,"[0,1,0,0]","[0,1,0,0]",,7,63,27
64,184096565021911,1037097846388441,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037097846388441,9/21/2016,"[1,0,0,0]","[0,1,0,0]",,246,704,386
65,184096565021911,1037112079720351,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037112079720351,9/21/2016,"[0,1,0,0]","[0,1,0,0]",,3,98,36
66,184096565021911,1.03714E+15,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037141289717430,9/21/2016,"[0,1,0,0]","[0,1,0,0]",,119,415,102
67,184096565021911,1037167203048172,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037167203048172,9/21/2016,"[0,1,0,0]","[0,1,0,0]",,4,52,18
68,184096565021911,1037176393047253,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037176393047253,9/21/2016,"[1,0,0,0]","[0,1,0,0]",,3,47,17
69,184096565021911,1037188766379349,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037188766379349,9/21/2016,"[0,0,0,1]","[0,1,0,0]",,2,5,2
70,184096565021911,1037217126376513,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037217126376513,9/21/2016,"[0,1,0,0]","[0,0,1,0]",,35,344,48
71,184096565021911,1037225543042338,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037225543042338,9/21/2016,"[1,0,0,0]","[0,1,0,0]",,27,345,85
72,184096565021911,1037243109707248,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037243109707248,9/21/2016,"[0,1,0,0]","[0,1,0,0]",,4,27,12
73,184096565021911,1037252369706322,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037252369706322,9/21/2016,"[1,0,0,0]","[0,1,0,0]",,17,74,22
74,184096565021911,1037268776371348,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037268776371348,9/21/2016,"[0,1,0,0]","[0,1,0,0]",,7,35,7
75,184096565021911,1.03729E+15,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037288223036070,9/21/2016,"[0,1,0,0]","[0,1,0,0]",,11,147,47
76,184096565021911,1.0373E+15,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037299089701650,9/21/2016,"[0,1,0,0]","[0,1,0,0]",,32,557,143
77,184096565021911,1.03732E+15,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037318423033050,9/21/2016,"[1,0,0,0]","[1,0,0,0]",,3,20,0
78,184096565021911,1037352739696285,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037352739696285,9/21/2016,"[0,1,0,0]","[0,1,0,0]",,1,9,11
79,184096565021911,1037371396361086,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037371396361086,9/21/2016,"[1,0,0,0]","[0,1,0,0]",,8,52,10
80,184096565021911,1037391213025771,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037391213025771,9/21/2016,"[0,1,0,0]","[0,1,0,0]",,12,144,102
81,184096565021911,1037410216357204,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037410216357204,9/21/2016,"[0,1,0,0]","[0,1,0,0]",,8,31,7
82,184096565021911,1037433849688174,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037433849688174,9/21/2016,"[0,1,0,0]","[0,1,0,0]",,61,196,73
83,184096565021911,1037464359685123,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037464359685123,9/22/2016,"[0,1,0,0]","[0,1,0,0]",,9,52,17
84,184096565021911,1037489569682602,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037489569682602,9/22/2016,"[0,1,0,0]","[0,1,0,0]",,6,76,65
85,184096565021911,1037749336323292,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037749336323292,9/22/2016,"[0,1,0,0]","[0,1,0,0]",,9,111,30
86,184096565021911,1037782196320006,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037782196320006,9/22/2016,"[1,0,0,0]","[1,0,0,0]",,38,138,32
87,184096565021911,1037810572983835,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037810572983835,9/22/2016,"[1,0,0,0]","[0,1,0,0]",,8,19,18
88,184096565021911,1037826349648924,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037826349648924,9/22/2016,"[1,0,0,0]","[0,1,0,0]",,,128,5
89,184096565021911,1037846762980216,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037846762980216,9/22/2016,"[1,0,0,0]","[0,1,0,0]",,138,277,225
90,184096565021911,1037856692979223,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037856692979223,9/22/2016,"[0,1,0,0]","[0,1,0,0]",,18,46,21
91,184096565021911,1037886152976277,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037886152976277,9/22/2016,"[0,1,0,0]","[0,1,0,0]",,28,84,27
92,184096565021911,1037889882975904,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037889882975904,9/22/2016,"[1,0,0,0]","[0,1,0,0]",,,10,1
93,184096565021911,1037919132972979,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037919132972979,9/22/2016,"[0,1,0,0]","[0,1,0,0]",,5,55,24
94,184096565021911,1037947399636819,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037947399636819,9/22/2016,"[1,0,0,0]","[0,1,0,0]",,92,507,17
95,184096565021911,1037951726303053,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1037951726303053,9/22/2016,"[0,1,0,0]","[0,1,0,0]",,48,194,75
96,184096565021911,1038000319631527,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038000319631527,9/22/2016,"[0,1,0,0]","[0,1,0,0]",,7,58,3
97,184096565021911,1038027142962178,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038027142962178,9/22/2016,"[1,0,0,0]","[0,1,0,0]",,38,187,105
98,184096565021911,1038031976295028,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038031976295028,9/22/2016,"[0,1,0,0]","[0,1,0,0]",,3,16,4
99,184096565021911,1038059326292293,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038059326292293,9/22/2016,"[0,1,0,0]","[0,1,0,0]",,2,63,16
100,184096565021911,1038086542956238,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038086542956238,9/22/2016,"[0,1,0,0]","[0,1,0,0]",,13,50,25
101,184096565021911,1.03811E+15,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038114256286800,9/22/2016,"[0,1,0,0]","[0,1,0,0]",,7,181,28
102,184096565021911,1038150182949874,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038150182949874,9/22/2016,"[0,1,0,0]","[0,1,0,0]",,6,56,10
103,184096565021911,1038186959612863,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038186959612863,9/22/2016,"[0,1,0,0]","[0,1,0,0]",,13,115,44
104,184096565021911,1038501679581391,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038501679581391,9/23/2016,"[0,1,0,0]","[0,1,0,0]",,12,147,54
105,184096565021911,1038539842910908,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038539842910908,9/23/2016,"[1,0,0,0]","[0,1,0,0]",,9,81,19
106,184096565021911,1038541676244058,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038541676244058,9/23/2016,"[0,1,0,0]","[0,1,0,0]",,5,28,5
107,184096565021911,1038542892910603,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038542892910603,9/23/2016,"[0,1,0,0]","[0,1,0,0]",,3,99,16
108,184096565021911,1038577226240503,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038577226240503,9/23/2016,"[0,1,0,0]","[0,1,0,0]",,22,115,10
109,184096565021911,1038636096234616,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038636096234616,9/23/2016,"[0,1,0,0]","[0,1,0,0]",,9,107,21
110,184096565021911,1038670552897837,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038670552897837,9/23/2016,"[0,0,1,0]","[0,1,0,0]",,2,12,9
111,184096565021911,1038699376228288,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038699376228288,9/23/2016,"[0,1,0,0]","[0,1,0,0]",,1,41,3
112,184096565021911,1038757716222454,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038757716222454,9/23/2016,"[0,1,0,0]","[0,1,0,0]",,6,21,8
113,184096565021911,1038758292889063,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038758292889063,9/23/2016,"[0,0,1,0]","[0,1,0,0]",,26,178,84
114,184096565021911,1038777582887134,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038777582887134,9/23/2016,"[0,1,0,0]","[0,1,0,0]",,20,108,46
115,184096565021911,1038788812886011,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038788812886011,9/23/2016,"[1,0,0,0]","[0,1,0,0]",,,156,15
116,184096565021911,1038804176217808,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038804176217808,9/23/2016,"[0,1,0,0]","[0,1,0,0]",,9,74,21
117,184096565021911,1038834739548085,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038834739548085,9/23/2016,"[0,1,0,0]","[0,1,0,0]",,81,748,154
118,184096565021911,1038844909547068,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038844909547068,9/23/2016,"[1,0,0,0]","[0,1,0,0]",,,9,11
119,184096565021911,1038860559545503,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038860559545503,9/23/2016,"[0,1,0,0]","[0,1,0,0]",,21,160,26
120,184096565021911,1038891872875705,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038891872875705,9/23/2016,"[0,1,0,0]","[0,1,0,0]",,7,59,9
121,184096565021911,1038922299539329,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038922299539329,9/23/2016,"[0,1,0,0]","[0,1,0,0]",,6,22,8
122,184096565021911,1038926896205536,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038926896205536,9/23/2016,"[0,1,0,0]","[0,1,0,0]",,5,61,22
123,184096565021911,1038949176203308,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038949176203308,9/23/2016,"[0,1,0,0]","[0,1,0,0]",,4,28,4
124,184096565021911,1038973039534255,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038973039534255,9/23/2016,"[0,1,0,0]","[0,1,0,0]",,4,44,32
125,184096565021911,1038984299533129,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1038984299533129,9/23/2016,"[0,1,0,0]","[0,1,0,0]",,60,262,31
126,184096565021911,1040988309332728,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1040988309332728,9/26/2016,"[0,1,0,0]","[0,1,0,0]",,5,45,29
127,184096565021911,1041035462661346,"[0,1,0]","[1,0,0,0,0,0,0,0,0]",https://www.facebook.com/ABCNewsPolitics/posts/1041035462661346,9/26/2016,"[0,1,0,0]","[0,1,0,0]",,14,261,59
